Volkswagen,E-Golf,"35,8",40
Volkswagen,ID.3 - Pure,45,50
Volkswagen,ID.3 - Pro,58,100
Volkswagen,ID.3 - PRO S,77,125
Volkswagen,GOLF GTE,"8,8",11
Volkswagen,Passat GTe,13,11
Tesla,S,100,120
Tesla,3.,55,100
Kia,OPTIMA,"9,8","3,3"
Kia,NIRO,"8,9","3,3"
Kia,E-NIRO,42,50
Kia,E-NIRO,67,80
Volvo,V90,"10,4","3,7"
Volvo,V60 D6,"11,2","3,7"
BMW,330E Auto,12,83
BMW,330E Xdrive,"10,4",83
BMW,I3 60 Ah,"21,6",47
BMW,I3 120 Ah,42,50
BMW,I3s 120 Ah,"42,2",50
AUDI,E-TRON 50 Quattro,71,120
AUDI,E-TRON 55 Quattro,95,150
AUDI,E-TRON Q4,82,125
RENAULT,KANGOO EXPRESS Z.E,44,?
RENAULT,ZOE GEN 2,60,100
RENAULT,ZOE ,41,22
NISSAN,LEAF,40,50
NISSAN,LEAF e+,62,100
MITUBISHI,OUTLANDER,"13,8",22
